Date,name,Scenario,Figure,Value,BusinessUnit,Factor
4/1/2019,Coal Mined (Mt),Actual,Year-To-Date,26.09004,Deep Earth Exploration Unit,1000000
4/1/2019,Coal Mined (Mt),Actual,Month,6.95856,Deep Earth Exploration Unit,1000000
4/1/2019,Coal Dry Mining (Mt),Plan,Month,1.1016,Deep Earth Exploration Unit,1000000
4/1/2019,Utility (%),Actual,Year-To-Date,87.84,Deep Earth Exploration Unit,1
4/1/2019,Utility (%),Actual,Month,92.4,Deep Earth Exploration Unit,1
4/1/2019,Utility (%),Plan,Year-To-Date,72.6,Deep Earth Exploration Unit,1
4/1/2019,Utility (%),Plan,Month,71.328,Deep Earth Exploration Unit,1
4/1/2019,Coal Mined (Mt),Plan,Year-To-Date,30.9216,Deep Earth Exploration Unit,1000000
4/1/2019,Coal Mined (Mt),Plan,Month,7.7304,Deep Earth Exploration Unit,1000000
4/1/2019,Coal Mined (Mt),Actual,Year-To-Date,4.95684,ACME,1000000
4/1/2019,Coal Mined (Mt),Actual,Month,1.5312,ACME,1000000
4/1/2019,Coal Mined (Mt),Plan,Year-To-Date,7.7304,ACME,1000000
4/1/2019,Coal Mined (Mt),Plan,Month,1.27872,ACME,1000000
4/1/2019,Yield (%),Actual,Year-To-Date,44.86104,Deep Earth Exploration Unit,1
4/1/2019,Yield (%),Actual,Month,50.4,Deep Earth Exploration Unit,1
4/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
4/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
4/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,3.411,Deep Earth Exploration Unit,1000000
4/1/2019,Coal Dry Mining (Mt),Actual,Month,1.10076,Deep Earth Exploration Unit,1000000
4/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,4.4064,Deep Earth Exploration Unit,1000000
4/1/2019,Drills per Hour (TOH),Actual,Month,14123.41164,Pacific Surface Mining Solutions,1
4/1/2019,Drills per Hour (TOH),Actual,Month,24392.03616,Geomining Innovations,1
4/1/2019,Drills per Hour (TOH),Actual,Month,236.50536,Deep Earth Exploration Unit,1
4/1/2019,Drills per Hour (TOH),Actual,Month,139.03212,ACME,1
4/1/2019,Drills per Hour (TOH),Actual,Month,4623.54708,Core Extraction Systems,1
4/1/2019,Drills per Hour (TOH),Actual,Month,6968.35188,Mineral Extraction Technologies,1
4/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,6751.82292,Geomining Innovations,1
4/1/2019,Rate (Mt.EFH Km),Actual,Month,6492.4878,Geomining Innovations,1
4/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3230.90364,Mineral Extraction Technologies,1
5/1/2019,Coal Mined (Mt),Plan,Year-To-Date,38.81172,Deep Earth Exploration Unit,1000000
5/1/2019,Coal Mined (Mt),Plan,Month,7.89012,Deep Earth Exploration Unit,1000000
5/1/2019,Coal Dry Mining (Mt),Actual,Month,0.0012,ACME,1000000
5/1/2019,Utility (%),Actual,Year-To-Date,82.872,Deep Earth Exploration Unit,1
5/1/2019,Utility (%),Actual,Month,84,Deep Earth Exploration Unit,1
5/1/2019,Utility (%),Plan,Year-To-Date,69.156,Deep Earth Exploration Unit,1
5/1/2019,Utility (%),Plan,Month,55.848,Deep Earth Exploration Unit,1
5/1/2019,Coal Mined (Mt),Actual,Year-To-Date,6.14976,ACME,1000000
5/1/2019,Coal Mined (Mt),Actual,Month,1.19292,ACME,1000000
5/1/2019,Coal Mined (Mt),Plan,Year-To-Date,7.89012,ACME,1000000
5/1/2019,Coal Mined (Mt),Plan,Month,1.32,ACME,1000000
5/1/2019,Yield (%),Actual,Year-To-Date,45.24876,Deep Earth Exploration Unit,1
5/1/2019,Yield (%),Actual,Month,46.8,Deep Earth Exploration Unit,1
5/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
5/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
5/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,4.5624,Deep Earth Exploration Unit,1000000
5/1/2019,Coal Dry Mining (Mt),Actual,Month,1.15152,Deep Earth Exploration Unit,1000000
5/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,5.54472,Deep Earth Exploration Unit,1000000
5/1/2019,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
5/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,0.0012,ACME,1000000
5/1/2019,Drills per Hour (TOH),Actual,Month,9970.50516,Pacific Surface Mining Solutions,1
5/1/2019,Drills per Hour (TOH),Actual,Month,21367.21764,Geomining Innovations,1
5/1/2019,Drills per Hour (TOH),Actual,Month,215.99544,Deep Earth Exploration Unit,1
5/1/2019,Drills per Hour (TOH),Actual,Month,148.51548,ACME,1
5/1/2019,Drills per Hour (TOH),Actual,Month,4183.36848,Core Extraction Systems,1
5/1/2019,Drills per Hour (TOH),Actual,Month,5842.79412,Mineral Extraction Technologies,1
5/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,6821.16792,Geomining Innovations,1
5/1/2019,Rate (Mt.EFH Km),Actual,Month,7089.50664,Geomining Innovations,1
5/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3232.15068,Mineral Extraction Technologies,1
5/1/2019,Rate (Mt.EFH Km),Actual,Month,3237.55872,Mineral Extraction Technologies,1
5/1/2019,Coal Mined (Mt),Actual,Year-To-Date,32.7072,Deep Earth Exploration Unit,1000000
6/1/2019,Yield (%),Actual,Year-To-Date,44.5074,Deep Earth Exploration Unit,1
6/1/2019,Yield (%),Actual,Month,40.8,Deep Earth Exploration Unit,1
6/1/2019,Utility (%),Actual,Month,63.6,Deep Earth Exploration Unit,1
6/1/2019,Utility (%),Plan,Year-To-Date,67.2,Deep Earth Exploration Unit,1
6/1/2019,Utility (%),Plan,Month,57.372,Deep Earth Exploration Unit,1
6/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
6/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
6/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,5.82276,Deep Earth Exploration Unit,1000000
6/1/2019,Coal Dry Mining (Mt),Actual,Month,1.26036,Deep Earth Exploration Unit,1000000
6/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,6.32232,Deep Earth Exploration Unit,1000000
6/1/2019,Coal Dry Mining (Mt),Plan,Month,0.7776,Deep Earth Exploration Unit,1000000
6/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,0.0504,ACME,1000000
6/1/2019,Coal Dry Mining (Mt),Actual,Month,0.0492,ACME,1000000
6/1/2019,Utility (%),Actual,Year-To-Date,83.16,Deep Earth Exploration Unit,1
6/1/2019,Drills per Hour (TOH),Actual,Month,32067.5094,Pacific Surface Mining Solutions,1
6/1/2019,Drills per Hour (TOH),Actual,Month,22308.45024,Geomining Innovations,1
6/1/2019,Drills per Hour (TOH),Actual,Month,195.76428,Deep Earth Exploration Unit,1
6/1/2019,Drills per Hour (TOH),Actual,Month,129.6108,ACME,1
6/1/2019,Drills per Hour (TOH),Actual,Month,3964.21536,Core Extraction Systems,1
6/1/2019,Drills per Hour (TOH),Actual,Month,6097.7328,Mineral Extraction Technologies,1
6/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,6977.63532,Geomining Innovations,1
6/1/2019,Rate (Mt.EFH Km),Actual,Month,7764.97056,Geomining Innovations,1
6/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3324.1176,Mineral Extraction Technologies,1
6/1/2019,Rate (Mt.EFH Km),Actual,Month,3834.58884,Mineral Extraction Technologies,1
6/1/2019,Coal Mined (Mt),Actual,Year-To-Date,39.4938,Deep Earth Exploration Unit,1000000
6/1/2019,Coal Mined (Mt),Actual,Month,6.7866,Deep Earth Exploration Unit,1000000
6/1/2019,Coal Mined (Mt),Plan,Year-To-Date,44.76408,Deep Earth Exploration Unit,1000000
6/1/2019,Coal Mined (Mt),Plan,Month,5.95224,Deep Earth Exploration Unit,1000000
6/1/2019,Coal Mined (Mt),Actual,Year-To-Date,7.52304,ACME,1000000
6/1/2019,Coal Mined (Mt),Actual,Month,1.37328,ACME,1000000
6/1/2019,Coal Mined (Mt),Plan,Year-To-Date,5.95224,ACME,1000000
7/1/2019,Coal Mined (Mt),Plan,Year-To-Date,52.56708,Deep Earth Exploration Unit,1000000
7/1/2019,Coal Mined (Mt),Plan,Month,7.803,Deep Earth Exploration Unit,1000000
7/1/2019,Coal Dry Mining (Mt),Actual,Month,0.12984,ACME,1000000
7/1/2019,Utility (%),Actual,Year-To-Date,80.76,Deep Earth Exploration Unit,1
7/1/2019,Utility (%),Actual,Month,67.2,Deep Earth Exploration Unit,1
7/1/2019,Utility (%),Plan,Year-To-Date,65.04,Deep Earth Exploration Unit,1
7/1/2019,Utility (%),Plan,Month,52.428,Deep Earth Exploration Unit,1
7/1/2019,Coal Mined (Mt),Actual,Year-To-Date,8.70024,ACME,1000000
7/1/2019,Coal Mined (Mt),Actual,Month,1.1772,ACME,1000000
7/1/2019,Coal Mined (Mt),Plan,Year-To-Date,7.803,ACME,1000000
7/1/2019,Coal Mined (Mt),Plan,Month,0.94344,ACME,1000000
7/1/2019,Yield (%),Actual,Year-To-Date,43.4634,Deep Earth Exploration Unit,1
7/1/2019,Yield (%),Actual,Month,37.2,Deep Earth Exploration Unit,1
7/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
7/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
7/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,6.8976,Deep Earth Exploration Unit,1000000
7/1/2019,Coal Dry Mining (Mt),Actual,Month,1.07484,Deep Earth Exploration Unit,1000000
7/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,7.46064,Deep Earth Exploration Unit,1000000
7/1/2019,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
7/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,0.18024,ACME,1000000
7/1/2019,Drills per Hour (TOH),Actual,Month,31512.51828,Pacific Surface Mining Solutions,1
7/1/2019,Drills per Hour (TOH),Actual,Month,24518.19468,Geomining Innovations,1
7/1/2019,Drills per Hour (TOH),Actual,Month,229.58604,Deep Earth Exploration Unit,1
7/1/2019,Drills per Hour (TOH),Actual,Month,128.18772,ACME,1
7/1/2019,Drills per Hour (TOH),Actual,Month,4282.8258,Core Extraction Systems,1
7/1/2019,Drills per Hour (TOH),Actual,Month,7106.679,Mineral Extraction Technologies,1
7/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,7210.31136,Geomining Innovations,1
7/1/2019,Rate (Mt.EFH Km),Actual,Month,8568.52704,Geomining Innovations,1
7/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,21967.9842,Core Extraction Systems,1
7/1/2019,Rate (Mt.EFH Km),Actual,Month,3656.06724,Core Extraction Systems,1
7/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3385.44264,Mineral Extraction Technologies,1
7/1/2019,Rate (Mt.EFH Km),Actual,Month,3774.19896,Mineral Extraction Technologies,1
7/1/2019,Coal Mined (Mt),Actual,Year-To-Date,46.17048,Deep Earth Exploration Unit,1000000
8/1/2019,Coal Mined (Mt),Plan,Year-To-Date,60.27768,Deep Earth Exploration Unit,1000000
8/1/2019,Coal Mined (Mt),Plan,Month,7.7106,Deep Earth Exploration Unit,1000000
8/1/2019,Coal Dry Mining (Mt),Actual,Month,0.1866,ACME,1000000
8/1/2019,Utility (%),Actual,Year-To-Date,76.32,Deep Earth Exploration Unit,1
8/1/2019,Utility (%),Actual,Month,45.6,Deep Earth Exploration Unit,1
8/1/2019,Utility (%),Plan,Year-To-Date,61.608,Deep Earth Exploration Unit,1
8/1/2019,Utility (%),Plan,Month,38.1,Deep Earth Exploration Unit,1
8/1/2019,Coal Mined (Mt),Actual,Year-To-Date,9.82596,ACME,1000000
8/1/2019,Coal Mined (Mt),Actual,Month,1.12572,ACME,1000000
8/1/2019,Coal Mined (Mt),Plan,Year-To-Date,7.7106,ACME,1000000
8/1/2019,Coal Mined (Mt),Plan,Month,0.92856,ACME,1000000
8/1/2019,Yield (%),Actual,Year-To-Date,42.83052,Deep Earth Exploration Unit,1
8/1/2019,Yield (%),Actual,Month,38.4,Deep Earth Exploration Unit,1
8/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
8/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
8/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,8.26608,Deep Earth Exploration Unit,1000000
8/1/2019,Coal Dry Mining (Mt),Actual,Month,1.36848,Deep Earth Exploration Unit,1000000
8/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,8.59896,Deep Earth Exploration Unit,1000000
8/1/2019,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
8/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,0.36684,ACME,1000000
8/1/2019,Drills per Hour (TOH),Actual,Month,31652.74368,Pacific Surface Mining Solutions,1
8/1/2019,Drills per Hour (TOH),Actual,Month,23067.85284,Geomining Innovations,1
8/1/2019,Drills per Hour (TOH),Actual,Month,163.96824,Deep Earth Exploration Unit,1
8/1/2019,Drills per Hour (TOH),Actual,Month,112.18896,ACME,1
8/1/2019,Drills per Hour (TOH),Actual,Month,4220.38092,Core Extraction Systems,1
8/1/2019,Drills per Hour (TOH),Actual,Month,6922.73196,Mineral Extraction Technologies,1
8/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,7306.2864,Geomining Innovations,1
8/1/2019,Rate (Mt.EFH Km),Actual,Month,7962.50232,Geomining Innovations,1
8/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,13159.34928,Core Extraction Systems,1
8/1/2019,Rate (Mt.EFH Km),Actual,Month,3942.70476,Core Extraction Systems,1
8/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3434.83224,Mineral Extraction Technologies,1
8/1/2019,Rate (Mt.EFH Km),Actual,Month,3797.3172,Mineral Extraction Technologies,1
8/1/2019,Coal Mined (Mt),Actual,Year-To-Date,53.16396,Deep Earth Exploration Unit,1000000
9/1/2019,Coal Mined (Mt),Plan,Year-To-Date,68.12988,Deep Earth Exploration Unit,1000000
9/1/2019,Coal Mined (Mt),Plan,Month,7.8522,Deep Earth Exploration Unit,1000000
9/1/2019,Coal Dry Mining (Mt),Actual,Month,0.17316,ACME,1000000
9/1/2019,Utility (%),Actual,Year-To-Date,73.50672,Deep Earth Exploration Unit,1
9/1/2019,Utility (%),Actual,Month,70.8,Deep Earth Exploration Unit,1
9/1/2019,Utility (%),Plan,Year-To-Date,61.728,Deep Earth Exploration Unit,1
9/1/2019,Utility (%),Plan,Month,62.736,Deep Earth Exploration Unit,1
9/1/2019,Coal Mined (Mt),Actual,Year-To-Date,11.21628,ACME,1000000
9/1/2019,Coal Mined (Mt),Actual,Month,1.39032,ACME,1000000
9/1/2019,Coal Mined (Mt),Plan,Year-To-Date,7.8522,ACME,1000000
9/1/2019,Coal Mined (Mt),Plan,Month,1.452,ACME,1000000
9/1/2019,Yield (%),Actual,Year-To-Date,42.33828,Deep Earth Exploration Unit,1
9/1/2019,Yield (%),Actual,Month,38.4,Deep Earth Exploration Unit,1
9/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
9/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
9/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,9.61956,Deep Earth Exploration Unit,1000000
9/1/2019,Coal Dry Mining (Mt),Actual,Month,1.35348,Deep Earth Exploration Unit,1000000
9/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,9.70056,Deep Earth Exploration Unit,1000000
9/1/2019,Coal Dry Mining (Mt),Plan,Month,1.1016,Deep Earth Exploration Unit,1000000
9/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,0.54,ACME,1000000
9/1/2019,Drills per Hour (TOH),Actual,Month,31273.46892,Pacific Surface Mining Solutions,1
9/1/2019,Drills per Hour (TOH),Actual,Month,22536.59868,Geomining Innovations,1
9/1/2019,Drills per Hour (TOH),Actual,Month,239.42892,Deep Earth Exploration Unit,1
9/1/2019,Drills per Hour (TOH),Actual,Month,93.78228,ACME,1
9/1/2019,Drills per Hour (TOH),Actual,Month,4596.81132,Core Extraction Systems,1
9/1/2019,Drills per Hour (TOH),Actual,Month,6979.41276,Mineral Extraction Technologies,1
9/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,7560.35472,Geomining Innovations,1
9/1/2019,Rate (Mt.EFH Km),Actual,Month,9617.95584,Geomining Innovations,1
9/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,10241.49288,Core Extraction Systems,1
9/1/2019,Rate (Mt.EFH Km),Actual,Month,4071.59832,Core Extraction Systems,1
9/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3506.15844,Mineral Extraction Technologies,1
9/1/2019,Rate (Mt.EFH Km),Actual,Month,4120.79448,Mineral Extraction Technologies,1
9/1/2019,Coal Mined (Mt),Actual,Year-To-Date,60.32472,Deep Earth Exploration Unit,1000000
10/1/2019,Coal Mined (Mt),Plan,Year-To-Date,76.4064,Deep Earth Exploration Unit,1000000
10/1/2019,Coal Mined (Mt),Plan,Month,8.2764,Deep Earth Exploration Unit,1000000
10/1/2019,Coal Dry Mining (Mt),Actual,Month,0.17112,ACME,1000000
10/1/2019,Utility (%),Actual,Year-To-Date,72.876,Deep Earth Exploration Unit,1
10/1/2019,Utility (%),Actual,Month,67.2,Deep Earth Exploration Unit,1
10/1/2019,Utility (%),Plan,Year-To-Date,62.724,Deep Earth Exploration Unit,1
10/1/2019,Utility (%),Plan,Month,71.472,Deep Earth Exploration Unit,1
10/1/2019,Coal Mined (Mt),Actual,Year-To-Date,12.34752,ACME,1000000
10/1/2019,Coal Mined (Mt),Actual,Month,1.13124,ACME,1000000
10/1/2019,Coal Mined (Mt),Plan,Year-To-Date,8.2764,ACME,1000000
10/1/2019,Coal Mined (Mt),Plan,Month,1.49988,ACME,1000000
10/1/2019,Yield (%),Actual,Year-To-Date,42.18444,Deep Earth Exploration Unit,1
10/1/2019,Yield (%),Actual,Month,40.8,Deep Earth Exploration Unit,1
10/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
10/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
10/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,10.78608,Deep Earth Exploration Unit,1000000
10/1/2019,Coal Dry Mining (Mt),Actual,Month,1.16652,Deep Earth Exploration Unit,1000000
10/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,10.83888,Deep Earth Exploration Unit,1000000
10/1/2019,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
10/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,0.71112,ACME,1000000
10/1/2019,Drills per Hour (TOH),Actual,Month,31462.61052,Pacific Surface Mining Solutions,1
10/1/2019,Drills per Hour (TOH),Actual,Month,23418.69936,Geomining Innovations,1
10/1/2019,Drills per Hour (TOH),Actual,Month,239.53416,Deep Earth Exploration Unit,1
10/1/2019,Drills per Hour (TOH),Actual,Month,108.01032,ACME,1
10/1/2019,Drills per Hour (TOH),Actual,Month,4443.11148,Core Extraction Systems,1
10/1/2019,Drills per Hour (TOH),Actual,Month,6938.93208,Mineral Extraction Technologies,1
10/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,7685.84496,Geomining Innovations,1
10/1/2019,Rate (Mt.EFH Km),Actual,Month,8790.79932,Geomining Innovations,1
10/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,8612.35008,Core Extraction Systems,1
10/1/2019,Rate (Mt.EFH Km),Actual,Month,3702.01404,Core Extraction Systems,1
10/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3560.33616,Mineral Extraction Technologies,1
10/1/2019,Rate (Mt.EFH Km),Actual,Month,4064.56992,Mineral Extraction Technologies,1
10/1/2019,Coal Mined (Mt),Actual,Year-To-Date,67.72308,Deep Earth Exploration Unit,1000000
11/1/2019,Coal Mined (Mt),Plan,Year-To-Date,84.48708,Deep Earth Exploration Unit,1000000
11/1/2019,Coal Mined (Mt),Plan,Month,8.08068,Deep Earth Exploration Unit,1000000
11/1/2019,Coal Dry Mining (Mt),Actual,Month,0.15324,ACME,1000000
11/1/2019,Utility (%),Actual,Year-To-Date,71.26908,Deep Earth Exploration Unit,1
11/1/2019,Utility (%),Actual,Month,55.2,Deep Earth Exploration Unit,1
11/1/2019,Utility (%),Plan,Year-To-Date,63.912,Deep Earth Exploration Unit,1
11/1/2019,Utility (%),Plan,Month,75.972,Deep Earth Exploration Unit,1
11/1/2019,Coal Mined (Mt),Actual,Year-To-Date,13.73448,ACME,1000000
11/1/2019,Coal Mined (Mt),Actual,Month,1.38696,ACME,1000000
11/1/2019,Coal Mined (Mt),Plan,Year-To-Date,8.08068,ACME,1000000
11/1/2019,Coal Mined (Mt),Plan,Month,1.52064,ACME,1000000
11/1/2019,Yield (%),Actual,Year-To-Date,41.07672,Deep Earth Exploration Unit,1
11/1/2019,Yield (%),Actual,Month,30,Deep Earth Exploration Unit,1
11/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
11/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
11/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,11.52792,Deep Earth Exploration Unit,1000000
11/1/2019,Coal Dry Mining (Mt),Actual,Month,0.74184,Deep Earth Exploration Unit,1000000
11/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,11.94048,Deep Earth Exploration Unit,1000000
11/1/2019,Coal Dry Mining (Mt),Plan,Month,1.1016,Deep Earth Exploration Unit,1000000
11/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,0.86436,ACME,1000000
11/1/2019,Drills per Hour (TOH),Actual,Month,31664.9538,Pacific Surface Mining Solutions,1
11/1/2019,Drills per Hour (TOH),Actual,Month,22432.42296,Geomining Innovations,1
11/1/2019,Drills per Hour (TOH),Actual,Month,202.61652,Deep Earth Exploration Unit,1
